Nationality,female_artists
Afghan,1
Algerian,2
American,962
Angolan,1
Argentine,20
Australian,6
Austrian,36
Bahamian,1
Belgian,7
Bosnian,3
Brazilian,30
British,93
Burkinabe,1
Canadian,35
Chilean,9
Chinese,13
Colombian,9
Croatian,2
Cuban,7
Czech,8
Danish,9
Dutch,31
Egyptian,3
Finnish,11
French,61
Georgian,2
German,125
Greek,1
Hungarian,5
Icelandic,4
Indian,6
Iranian,5
Irish,3
Israeli,19
Italian,32
Japanese,47
Kenyan,1
Korean,5
Kuwaiti,1
Lebanese,3
Luxembourgish,1
Macedonian,1
Mexican,18
Moroccan,1
Nationality unknown,34
Norwegian,5
Pakistani,3
Palestinian,1
Paraguayan,1
Peruvian,5
Polish,17
Portuguese,3
Romanian,1
Russian,22
Scottish,4
Singaporean,2
Slovak,2
Slovenian,2
South African,20
Spanish,11
Swedish,17
Swiss,24
Taiwanese,2
Turkish,5
Ukrainian,1
Venezuelan,5
Yugoslav,4
