birth_year,Gender,count,total,share
1730.0,Male,1,1,1.0
1731.0,Unknown,1,1,1.0
1746.0,Male,1,1,1.0
1753.0,Male,1,1,1.0
1765.0,Unknown,1,1,1.0
1772.0,Male,1,1,1.0
1782.0,Male,1,1,1.0
1787.0,Male,1,1,1.0
1788.0,Male,1,1,1.0
1789.0,Male,1,1,1.0
1791.0,Male,1,1,1.0
1792.0,Male,1,1,1.0
1795.0,Male,2,2,1.0
1796.0,Male,2,2,1.0
1797.0,Female,1,3,0.3333333333333333
1797.0,Male,2,3,0.6666666666666666
1798.0,Male,1,1,1.0
1800.0,Male,4,4,1.0
1801.0,Male,3,3,1.0
1802.0,Male,3,4,0.75
1802.0,Unknown,1,4,0.25
1803.0,Male,1,1,1.0
1804.0,Male,1,1,1.0
1806.0,Male,2,2,1.0
1807.0,Unknown,1,1,1.0
1808.0,Male,2,3,0.6666666666666666
1808.0,Unknown,1,3,0.3333333333333333
1809.0,Male,4,4,1.0
1810.0,Male,3,3,1.0
1811.0,Male,5,5,1.0
1812.0,Male,3,3,1.0
1813.0,Male,5,5,1.0
1814.0,Male,4,6,0.6666666666666666
1814.0,Unknown,2,6,0.3333333333333333
1815.0,Female,1,3,0.3333333333333333
1815.0,Male,2,3,0.6666666666666666
1816.0,Male,6,6,1.0
1817.0,Male,3,3,1.0
1818.0,Male,4,5,0.8
1818.0,Unknown,1,5,0.2
1819.0,Male,11,11,1.0
1820.0,Male,6,6,1.0
1821.0,Male,8,8,1.0
1822.0,Female,1,7,0.14285714285714285
1822.0,Male,6,7,0.8571428571428571
1823.0,Male,4,5,0.8
1823.0,Unknown,1,5,0.2
1824.0,Male,6,6,1.0
1825.0,Male,6,6,1.0
1826.0,Male,3,4,0.75
1826.0,Unknown,1,4,0.25
1827.0,Male,6,7,0.8571428571428571
1827.0,Unknown,1,7,0.14285714285714285
1828.0,Male,3,3,1.0
1829.0,Male,3,3,1.0
1830.0,Male,7,7,1.0
1831.0,Male,6,7,0.8571428571428571
1831.0,Unknown,1,7,0.14285714285714285
1832.0,Male,6,7,0.8571428571428571
1832.0,Unknown,1,7,0.14285714285714285
1833.0,Male,6,7,0.8571428571428571
1833.0,Unknown,1,7,0.14285714285714285
1834.0,Male,6,6,1.0
1835.0,Male,1,1,1.0
1836.0,Male,4,5,0.8
1836.0,Unknown,1,5,0.2
1837.0,Male,3,5,0.6
1837.0,Unknown,2,5,0.4
1838.0,Female,1,3,0.3333333333333333
1838.0,Male,2,3,0.6666666666666666
1839.0,Male,4,4,1.0
1840.0,Male,6,8,0.75
1840.0,Unknown,2,8,0.25
1841.0,Female,1,5,0.2
1841.0,Male,4,5,0.8
1842.0,Male,4,4,1.0
1843.0,Male,7,8,0.875
1843.0,Unknown,1,8,0.125
1844.0,Female,1,5,0.2
1844.0,Male,4,5,0.8
1845.0,Male,3,4,0.75
1845.0,Unknown,1,4,0.25
1846.0,Male,4,5,0.8
1846.0,Unknown,1,5,0.2
1847.0,Male,5,6,0.8333333333333334
1847.0,Unknown,1,6,0.16666666666666666
1848.0,Male,12,12,1.0
1849.0,Male,7,7,1.0
1850.0,Male,3,4,0.75
1850.0,Unknown,1,4,0.25
1851.0,Male,6,9,0.6666666666666666
1851.0,Unknown,3,9,0.3333333333333333
1852.0,Female,1,6,0.16666666666666666
1852.0,Male,5,6,0.8333333333333334
1853.0,Male,10,12,0.8333333333333334
1853.0,Unknown,2,12,0.16666666666666666
1854.0,Male,6,6,1.0
1855.0,Male,5,5,1.0
1856.0,Male,12,12,1.0
1857.0,Male,11,11,1.0
1858.0,Female,1,16,0.0625
1858.0,Male,13,16,0.8125
1858.0,Unknown,2,16,0.125
1859.0,Male,12,12,1.0
1860.0,Male,17,19,0.8947368421052632
1860.0,Unknown,2,19,0.10526315789473684
1861.0,Male,18,19,0.9473684210526315
1861.0,Unknown,1,19,0.05263157894736842
1862.0,Male,10,12,0.8333333333333334
1862.0,Unknown,2,12,0.16666666666666666
1863.0,Male,14,15,0.9333333333333333
1863.0,Unknown,1,15,0.06666666666666667
1864.0,Female,2,23,0.08695652173913043
1864.0,Male,21,23,0.9130434782608695
1865.0,Female,3,22,0.13636363636363635
