year,Gender,count,total,share
1550.0,Unknown,1,1,1.0
1768.0,Male,1,1,1.0
1798.0,Male,2,2,1.0
1805.0,Male,2,2,1.0
1808.0,Male,1,1,1.0
1809.0,Male,1,1,1.0
1811.0,Male,1,1,1.0
1818.0,Male,1,1,1.0
1820.0,Female,1,1,1.0
1823.0,Male,1,1,1.0
1826.0,Male,2,2,1.0
1827.0,Male,1,1,1.0
1829.0,Male,1,1,1.0
1830.0,Unknown,1,1,1.0
1832.0,Male,1,1,1.0
1836.0,Male,1,1,1.0
1837.0,Male,1,1,1.0
1838.0,Male,1,1,1.0
1839.0,Male,2,2,1.0
1840.0,Male,7,8,0.875
1840.0,Unknown,1,8,0.125
1841.0,Male,2,2,1.0
1842.0,Male,2,2,1.0
1843.0,Male,2,2,1.0
1844.0,Male,5,5,1.0
1845.0,Male,2,2,1.0
1846.0,Male,3,3,1.0
1847.0,Male,3,3,1.0
1848.0,Male,1,1,1.0
1849.0,Male,2,2,1.0
1850.0,Female,1,26,0.038461538461538464
1850.0,Male,22,26,0.8461538461538461
1850.0,Unknown,3,26,0.11538461538461539
1851.0,Male,6,7,0.8571428571428571
1851.0,Unknown,1,7,0.14285714285714285
1852.0,Male,17,22,0.7727272727272727
1852.0,Unknown,5,22,0.22727272727272727
1853.0,Male,19,20,0.95
1853.0,Unknown,1,20,0.05
1854.0,Male,16,18,0.8888888888888888
1854.0,Unknown,2,18,0.1111111111111111
1855.0,Male,21,23,0.9130434782608695
1855.0,Unknown,2,23,0.08695652173913043
1856.0,Male,14,15,0.9333333333333333
1856.0,Unknown,1,15,0.06666666666666667
1857.0,Male,12,13,0.9230769230769231
1857.0,Unknown,1,13,0.07692307692307693
1858.0,Male,13,16,0.8125
1858.0,Unknown,3,16,0.1875
1859.0,Male,9,11,0.8181818181818182
1859.0,Unknown,2,11,0.18181818181818182
1860.0,Male,39,55,0.7090909090909091
1860.0,Unknown,16,55,0.2909090909090909
1861.0,Male,6,6,1.0
1862.0,Male,9,10,0.9
1862.0,Unknown,1,10,0.1
1863.0,Female,1,12,0.08333333333333333
1863.0,Male,10,12,0.8333333333333334
1863.0,Unknown,1,12,0.08333333333333333
1864.0,Female,1,12,0.08333333333333333
1864.0,Male,11,12,0.9166666666666666
1865.0,Female,1,31,0.03225806451612903
1865.0,Male,16,31,0.5161290322580645
1865.0,Unknown,14,31,0.45161290322580644
1866.0,Female,1,14,0.07142857142857142
1866.0,Male,11,14,0.7857142857142857
1866.0,Unknown,2,14,0.14285714285714285
1867.0,Female,1,14,0.07142857142857142
1867.0,Male,12,14,0.8571428571428571
1867.0,Unknown,1,14,0.07142857142857142
1868.0,Female,1,13,0.07692307692307693
1868.0,Male,10,13,0.7692307692307693
1868.0,Unknown,2,13,0.15384615384615385
1869.0,Male,6,6,1.0
1870.0,Female,1,20,0.05
1870.0,Male,15,20,0.75
1870.0,Unknown,4,20,0.2
1871.0,Female,1,7,0.14285714285714285
1871.0,Male,6,7,0.8571428571428571
1872.0,Female,1,11,0.09090909090909091
1872.0,Male,9,11,0.8181818181818182
1872.0,Unknown,1,11,0.09090909090909091
1873.0,Male,9,10,0.9
1873.0,Unknown,1,10,0.1
1874.0,Male,7,8,0.875
1874.0,Unknown,1,8,0.125
1875.0,Male,15,18,0.8333333333333334
1875.0,Unknown,3,18,0.16666666666666666
1876.0,Male,6,8,0.75
1876.0,Unknown,2,8,0.25
1877.0,Male,4,4,1.0
1878.0,Male,7,9,0.7777777777777778
1878.0,Unknown,2,9,0.2222222222222222
1879.0,Male,5,5,1.0
1880.0,Female,1,24,0.041666666666666664
1880.0,Male,17,24,0.7083333333333334
1880.0,Unknown,6,24,0.25
1881.0,Male,6,7,0.8571428571428571
1881.0,Unknown,1,7,0.14285714285714285
1882.0,Male,8,9,0.8888888888888888
1882.0,Unknown,1,9,0.1111111111111111
1883.0,Female,1,8,0.125
1883.0,Male,7,8,0.875
1884.0,Male,7,7,1.0
1885.0,Male,12,13,0.9230769230769231
1885.0,Unknown,1,13,0.07692307692307693
1886.0,Male,15,18,0.8333333333333334
1886.0,Unknown,3,18,0.16666666666666666
1887.0,Male,13,17,0.7647058823529411
1887.0,Unknown,4,17,0.23529411764705882
1888.0,Female,1,22,0.045454545454545456
1888.0,Male,18,22,0.8181818181818182
1888.0,Unknown,3,22,0.13636363636363635
1889.0,Male,17,18,0.9444444444444444
1889.0,Unknown,1,18,0.05555555555555555
1890.0,Female,7,52,0.1346153846153846
1890.0,Male,40,52,0.7692307692307693
1890.0,Unknown,5,52,0.09615384615384616
1891.0,Male,27,27,1.0
1892.0,Male,29,29,1.0
1893.0,Male,28,31,0.9032258064516129
1893.0,Unknown,3,31,0.0967741935483871
1894.0,Male,47,52,0.9038461538461539
1894.0,Unknown,5,52,0.09615384615384616
1895.0,Female,2,81,0.024691358024691357
1895.0,Male,65,81,0.8024691358024691
1895.0,Unknown,14,81,0.1728395061728395
1896.0,Female,3,55,0.05454545454545454
1896.0,Male,49,55,0.8909090909090909
1896.0,Unknown,3,55,0.05454545454545454
1897.0,Female,1,77,0.012987012987012988
1897.0,Male,68,77,0.8831168831168831
1897.0,Unknown,8,77,0.1038961038961039
1898.0,Female,5,112,0.044642857142857144
1898.0,Male,90,112,0.8035714285714286
1898.0,Unknown,17,112,0.15178571428571427
1899.0,Female,2,63,0.031746031746031744
1899.0,Male,49,63,0.7777777777777778
1899.0,Unknown,12,63,0.19047619047619047
1900.0,Female,9,186,0.04838709677419355
1900.0,Male,154,186,0.8279569892473119
1900.0,Unknown,23,186,0.12365591397849462
1901.0,Female,5,54,0.09259259259259259
1901.0,Male,43,54,0.7962962962962963
1901.0,Unknown,6,54,0.1111111111111111
1902.0,Female,3,54,0.05555555555555555
1902.0,Male,48,54,0.8888888888888888
1902.0,Unknown,3,54,0.05555555555555555
1903.0,Female,1,43,0.023255813953488372
1903.0,Male,37,43,0.8604651162790697
1903.0,Unknown,5,43,0.11627906976744186
1904.0,Female,3,49,0.061224489795918366
1904.0,Male,43,49,0.8775510204081632
1904.0,Unknown,3,49,0.061224489795918366
1905.0,Female,2,51,0.0392156862745098
1905.0,Male,41,51,0.803921568627451
1905.0,Unknown,8,51,0.1568627450980392
1906.0,Female,4,62,0.06451612903225806
1906.0,Male,54,62,0.8709677419354839
1906.0,Unknown,4,62,0.06451612903225806
1907.0,Female,2,62,0.03225806451612903
1907.0,Male,56,62,0.9032258064516129
1907.0,Unknown,4,62,0.06451612903225806
1908.0,Female,4,75,0.05333333333333334
1908.0,Male,67,75,0.8933333333333333
1908.0,Unknown,4,75,0.05333333333333334
1909.0,Female,1,57,0.017543859649122806
1909.0,Male,55,57,0.9649122807017544
1909.0,Unknown,1,57,0.017543859649122806
1910.0,Female,8,125,0.064
1910.0,Male,104,125,0.832
1910.0,Unknown,13,125,0.104
1911.0,Female,3,77,0.03896103896103896
