year,Gender,count,total,share
1550.0,Unknown,1,1,1.0
1768.0,Male,5,5,1.0
1798.0,Male,82,82,1.0
1805.0,Male,2,2,1.0
1808.0,Male,1,1,1.0
1809.0,Male,1,1,1.0
1811.0,Male,1,1,1.0
1818.0,Male,324,324,1.0
1820.0,Female,1,1,1.0
1823.0,Male,1,1,1.0
1826.0,Male,33,33,1.0
1827.0,Male,1,1,1.0
1829.0,Male,1,1,1.0
1830.0,Unknown,1,1,1.0
1832.0,Male,2,2,1.0
1836.0,Male,80,80,1.0
1837.0,Male,7,7,1.0
1838.0,Male,1,1,1.0
1839.0,Male,3,3,1.0
1840.0,Male,13,22,0.5909090909090909
1840.0,Unknown,9,22,0.4090909090909091
1841.0,Male,10,10,1.0
1842.0,Male,27,27,1.0
1843.0,Male,142,142,1.0
1844.0,Male,14,14,1.0
1845.0,Male,8,8,1.0
1846.0,Male,3,3,1.0
1847.0,Male,3,3,1.0
1848.0,Male,3,3,1.0
1849.0,Male,38,38,1.0
1850.0,Female,2,53,0.03773584905660377
1850.0,Male,26,53,0.49056603773584906
1850.0,Unknown,25,53,0.4716981132075472
1851.0,Male,12,13,0.9230769230769231
1851.0,Unknown,1,13,0.07692307692307693
1852.0,Male,36,47,0.7659574468085106
1852.0,Unknown,11,47,0.23404255319148937
1853.0,Male,55,57,0.9649122807017544
1853.0,Unknown,2,57,0.03508771929824561
1854.0,Male,148,150,0.9866666666666667
1854.0,Unknown,2,150,0.013333333333333334
1855.0,Male,66,69,0.9565217391304348
1855.0,Unknown,3,69,0.043478260869565216
1856.0,Male,76,77,0.987012987012987
1856.0,Unknown,1,77,0.012987012987012988
1857.0,Male,161,162,0.9938271604938271
1857.0,Unknown,1,162,0.006172839506172839
1858.0,Male,79,82,0.9634146341463414
1858.0,Unknown,3,82,0.036585365853658534
1859.0,Male,30,125,0.24
1859.0,Unknown,95,125,0.76
1860.0,Male,257,300,0.8566666666666667
1860.0,Unknown,43,300,0.14333333333333334
1861.0,Male,39,39,1.0
1862.0,Male,40,41,0.975609756097561
1862.0,Unknown,1,41,0.024390243902439025
1863.0,Female,1,38,0.02631578947368421
1863.0,Male,36,38,0.9473684210526315
1863.0,Unknown,1,38,0.02631578947368421
1864.0,Female,1,97,0.010309278350515464
1864.0,Male,96,97,0.9896907216494846
1865.0,Female,3,112,0.026785714285714284
1865.0,Male,88,112,0.7857142857142857
1865.0,Unknown,21,112,0.1875
1866.0,Female,1,21,0.047619047619047616
1866.0,Male,17,21,0.8095238095238095
1866.0,Unknown,3,21,0.14285714285714285
1867.0,Female,5,47,0.10638297872340426
1867.0,Male,41,47,0.8723404255319149
1867.0,Unknown,1,47,0.02127659574468085
1868.0,Female,3,70,0.04285714285714286
1868.0,Male,61,70,0.8714285714285714
1868.0,Unknown,6,70,0.08571428571428572
1869.0,Male,182,182,1.0
1870.0,Female,1,112,0.008928571428571428
1870.0,Male,23,112,0.20535714285714285
1870.0,Unknown,88,112,0.7857142857142857
1871.0,Female,1,44,0.022727272727272728
1871.0,Male,43,44,0.9772727272727273
1872.0,Female,1,80,0.0125
1872.0,Male,70,80,0.875
1872.0,Unknown,9,80,0.1125
1873.0,Male,133,134,0.9925373134328358
1873.0,Unknown,1,134,0.007462686567164179
1874.0,Male,127,128,0.9921875
1874.0,Unknown,1,128,0.0078125
1875.0,Male,155,161,0.9627329192546584
1875.0,Unknown,6,161,0.037267080745341616
1876.0,Male,46,57,0.8070175438596491
1876.0,Unknown,11,57,0.19298245614035087
1877.0,Male,39,39,1.0
1878.0,Male,12,14,0.8571428571428571
1878.0,Unknown,2,14,0.14285714285714285
1879.0,Male,18,18,1.0
1880.0,Female,1,59,0.01694915254237288
1880.0,Male,42,59,0.711864406779661
1880.0,Unknown,16,59,0.2711864406779661
1881.0,Male,19,21,0.9047619047619048
1881.0,Unknown,2,21,0.09523809523809523
1882.0,Male,10,13,0.7692307692307693
1882.0,Unknown,3,13,0.23076923076923078
1883.0,Female,1,20,0.05
1883.0,Male,19,20,0.95
1884.0,Male,91,91,1.0
1885.0,Male,67,69,0.9710144927536232
1885.0,Unknown,2,69,0.028985507246376812
1886.0,Male,69,75,0.92
1886.0,Unknown,6,75,0.08
1887.0,Male,33,40,0.825
1887.0,Unknown,7,40,0.175
1888.0,Female,1,112,0.008928571428571428
1888.0,Male,107,112,0.9553571428571429
1888.0,Unknown,4,112,0.03571428571428571
1889.0,Male,41,43,0.9534883720930233
1889.0,Unknown,2,43,0.046511627906976744
1890.0,Female,11,91,0.12087912087912088
1890.0,Male,67,91,0.7362637362637363
1890.0,Unknown,13,91,0.14285714285714285
1891.0,Male,87,87,1.0
1892.0,Male,98,98,1.0
1893.0,Male,200,357,0.5602240896358543
1893.0,Unknown,157,357,0.43977591036414565
1894.0,Male,295,302,0.9768211920529801
