year,Department,Gender,count,total,share
1929.0,Drawings,Male,1,1,1.0
1929.0,Prints & Illustrated Books,Male,5,5,1.0
1930.0,Drawings,Male,2,2,1.0
1930.0,Painting & Sculpture,Male,4,4,1.0
1930.0,Prints & Illustrated Books,Male,1,1,1.0
1931.0,Painting & Sculpture,Male,2,2,1.0
1931.0,Prints & Illustrated Books,Male,1,1,1.0
1932.0,Architecture & Design,Male,2,2,1.0
1932.0,Drawings,Male,3,3,1.0
1932.0,Painting & Sculpture,Male,1,1,1.0
1932.0,Photography,Female,1,1,1.0
1932.0,Prints & Illustrated Books,Male,2,2,1.0
1933.0,Painting & Sculpture,Male,2,2,1.0
1933.0,Photography,Male,1,1,1.0
1933.0,Prints & Illustrated Books,Male,2,2,1.0
1934.0,Architecture & Design,Male,6,24,0.25
1934.0,Architecture & Design,Unknown,18,24,0.75
1934.0,Drawings,Female,1,13,0.07692307692307693
1934.0,Drawings,Male,12,13,0.9230769230769231
1934.0,Painting & Sculpture,Male,10,10,1.0
1934.0,Photography,Male,1,1,1.0
1934.0,Prints & Illustrated Books,Female,2,15,0.13333333333333333
1934.0,Prints & Illustrated Books,Male,13,15,0.8666666666666667
1935.0,Architecture & Design,Female,1,2,0.5
1935.0,Architecture & Design,Male,1,2,0.5
1935.0,Drawings,Female,1,43,0.023255813953488372
1935.0,Drawings,Male,41,43,0.9534883720930233
1935.0,Drawings,Unknown,1,43,0.023255813953488372
1935.0,Film,Male,4,4,1.0
1935.0,Painting & Sculpture,Male,7,7,1.0
1935.0,Photography,Male,2,2,1.0
1935.0,Prints & Illustrated Books,Female,1,13,0.07692307692307693
1935.0,Prints & Illustrated Books,Male,11,13,0.8461538461538461
1935.0,Prints & Illustrated Books,Unknown,1,13,0.07692307692307693
1936.0,Architecture & Design,Female,6,34,0.17647058823529413
1936.0,Architecture & Design,Male,15,34,0.4411764705882353
1936.0,Architecture & Design,Unknown,13,34,0.38235294117647056
1936.0,Drawings,Female,1,13,0.07692307692307693
1936.0,Drawings,Male,12,13,0.9230769230769231
1936.0,Film,Male,6,7,0.8571428571428571
1936.0,Film,Unknown,1,7,0.14285714285714285
1936.0,Painting & Sculpture,Female,1,14,0.07142857142857142
1936.0,Painting & Sculpture,Male,13,14,0.9285714285714286
1936.0,Prints & Illustrated Books,Male,2,2,1.0
1937.0,Architecture & Design,Female,3,100,0.03
1937.0,Architecture & Design,Male,71,100,0.71
1937.0,Architecture & Design,Unknown,26,100,0.26
1937.0,Drawings,Female,1,16,0.0625
1937.0,Drawings,Male,14,16,0.875
1937.0,Drawings,Unknown,1,16,0.0625
1937.0,Film,Male,3,3,1.0
1937.0,Painting & Sculpture,Female,1,21,0.047619047619047616
1937.0,Painting & Sculpture,Male,20,21,0.9523809523809523
