year,Gender,count,total,share
1929.0,Male,6,6,1.0
1930.0,Male,7,7,1.0
1931.0,Male,3,3,1.0
1932.0,Female,1,9,0.1111111111111111
1932.0,Male,8,9,0.8888888888888888
1933.0,Male,5,5,1.0
1934.0,Female,3,63,0.047619047619047616
1934.0,Male,42,63,0.6666666666666666
1934.0,Unknown,18,63,0.2857142857142857
1935.0,Female,3,71,0.04225352112676056
1935.0,Male,66,71,0.9295774647887324
1935.0,Unknown,2,71,0.028169014084507043
1936.0,Female,8,70,0.11428571428571428
1936.0,Male,48,70,0.6857142857142857
1936.0,Unknown,14,70,0.2
1937.0,Female,6,147,0.04081632653061224
1937.0,Male,114,147,0.7755102040816326
1937.0,Unknown,27,147,0.1836734693877551
1938.0,Female,4,59,0.06779661016949153
1938.0,Male,49,59,0.8305084745762712
1938.0,Unknown,6,59,0.1016949152542373
1939.0,Female,4,93,0.043010752688172046
1939.0,Male,86,93,0.9247311827956989
1939.0,Unknown,3,93,0.03225806451612903
1940.0,Female,25,280,0.08928571428571429
1940.0,Male,228,280,0.8142857142857143
1940.0,Unknown,27,280,0.09642857142857143
1941.0,Female,31,215,0.14418604651162792
1941.0,Male,169,215,0.786046511627907
1941.0,Unknown,15,215,0.06976744186046512
1942.0,Female,19,196,0.09693877551020408
1942.0,Male,163,196,0.8316326530612245
1942.0,Unknown,14,196,0.07142857142857142
1943.0,Female,10,209,0.04784688995215311
1943.0,Male,153,209,0.7320574162679426
1943.0,Unknown,46,209,0.22009569377990432
1944.0,Female,18,135,0.13333333333333333
1944.0,Male,100,135,0.7407407407407407
1944.0,Unknown,17,135,0.1259259259259259
1945.0,Female,4,89,0.0449438202247191
1945.0,Male,78,89,0.8764044943820225
1945.0,Unknown,7,89,0.07865168539325842
1946.0,Female,4,44,0.09090909090909091
1946.0,Male,34,44,0.7727272727272727
1946.0,Unknown,6,44,0.13636363636363635
1947.0,Female,13,151,0.08609271523178808
1947.0,Male,116,151,0.7682119205298014
1947.0,Unknown,22,151,0.1456953642384106
1948.0,Female,13,153,0.08496732026143791
1948.0,Male,112,153,0.7320261437908496
1948.0,Unknown,28,153,0.1830065359477124
1949.0,Female,25,265,0.09433962264150944
1949.0,Male,233,265,0.879245283018868
1949.0,Unknown,7,265,0.026415094339622643
1950.0,Female,15,162,0.09259259259259259
1950.0,Male,126,162,0.7777777777777778
1950.0,Unknown,21,162,0.12962962962962962
1951.0,Female,11,170,0.06470588235294118
1951.0,Male,151,170,0.888235294117647
1951.0,Unknown,8,170,0.047058823529411764
1952.0,Female,17,174,0.09770114942528736
1952.0,Male,154,174,0.8850574712643678
1952.0,Unknown,3,174,0.017241379310344827
1953.0,Female,12,204,0.058823529411764705
1953.0,Male,172,204,0.8431372549019608
1953.0,Unknown,20,204,0.09803921568627451
1954.0,Female,20,319,0.06269592476489028
1954.0,Male,286,319,0.896551724137931
1954.0,Unknown,13,319,0.04075235109717868
1955.0,Female,8,168,0.047619047619047616
1955.0,Male,153,168,0.9107142857142857
1955.0,Unknown,7,168,0.041666666666666664
1956.0,Female,13,326,0.03987730061349693
1956.0,Male,267,326,0.8190184049079755
1956.0,Unknown,46,326,0.1411042944785276
1957.0,Female,9,150,0.06
1957.0,Male,132,150,0.88
1957.0,Unknown,9,150,0.06
1958.0,Female,25,309,0.08090614886731391
1958.0,Male,247,309,0.7993527508090615
1958.0,Unknown,37,309,0.11974110032362459
1959.0,Female,29,326,0.08895705521472393
1959.0,Male,285,326,0.8742331288343558
1959.0,Unknown,12,326,0.03680981595092025
1960.0,Female,21,226,0.09292035398230089
1960.0,Male,193,226,0.8539823008849557
1960.0,Unknown,12,226,0.05309734513274336
1961.0,Female,25,253,0.09881422924901186
1961.0,Male,220,253,0.8695652173913043
1961.0,Unknown,8,253,0.03162055335968379
1962.0,Female,12,170,0.07058823529411765
1962.0,Male,150,170,0.8823529411764706
1962.0,Unknown,8,170,0.047058823529411764
1963.0,Female,24,307,0.0781758957654723
1963.0,Male,275,307,0.8957654723127035
1963.0,Unknown,8,307,0.026058631921824105
1964.0,Female,57,613,0.0929853181076672
1964.0,Male,541,613,0.8825448613376835
1964.0,Unknown,15,613,0.024469820554649267
1965.0,Female,35,412,0.08495145631067962
1965.0,Male,369,412,0.8956310679611651
1965.0,Unknown,8,412,0.019417475728155338
1966.0,Female,20,316,0.06329113924050633
1966.0,Male,288,316,0.9113924050632911
1966.0,Unknown,8,316,0.02531645569620253
1967.0,Female,41,572,0.07167832167832168
1967.0,Male,520,572,0.9090909090909091
1967.0,Unknown,11,572,0.019230769230769232
1968.0,Female,42,447,0.09395973154362416
1968.0,Male,390,447,0.87248322147651
1968.0,Unknown,15,447,0.03355704697986577
1969.0,Female,40,442,0.09049773755656108
1969.0,Male,396,442,0.8959276018099548
1969.0,Unknown,6,442,0.013574660633484163
1970.0,Female,30,276,0.10869565217391304
1970.0,Male,236,276,0.855072463768116
1970.0,Unknown,10,276,0.036231884057971016
1971.0,Female,20,212,0.09433962264150944
1971.0,Male,190,212,0.8962264150943396
1971.0,Unknown,2,212,0.009433962264150943
1972.0,Female,19,185,0.10270270270270271
1972.0,Male,160,185,0.8648648648648649
1972.0,Unknown,6,185,0.032432432432432434
1973.0,Female,26,247,0.10526315789473684
1973.0,Male,217,247,0.8785425101214575
1973.0,Unknown,4,247,0.016194331983805668
1974.0,Female,53,358,0.14804469273743018
1974.0,Male,298,358,0.8324022346368715
1974.0,Unknown,7,358,0.019553072625698324
1975.0,Female,26,213,0.12206572769953052
1975.0,Male,183,213,0.8591549295774648
1975.0,Unknown,4,213,0.018779342723004695
1976.0,Female,22,277,0.07942238267148015
1976.0,Male,244,277,0.8808664259927798
1976.0,Unknown,11,277,0.039711191335740074
1977.0,Female,60,383,0.1566579634464752
1977.0,Male,313,383,0.8172323759791122
1977.0,Unknown,10,383,0.02610966057441253
1978.0,Female,44,337,0.13056379821958458
1978.0,Male,286,337,0.8486646884272997
1978.0,Unknown,7,337,0.020771513353115726
1979.0,Female,48,350,0.13714285714285715
1979.0,Male,296,350,0.8457142857142858
1979.0,Unknown,6,350,0.017142857142857144
1980.0,Female,40,259,0.15444015444015444
1980.0,Male,208,259,0.803088803088803
1980.0,Unknown,11,259,0.04247104247104247
1981.0,Female,32,336,0.09523809523809523
1981.0,Male,287,336,0.8541666666666666
1981.0,Unknown,17,336,0.050595238095238096
1982.0,Female,28,290,0.09655172413793103
1982.0,Male,235,290,0.8103448275862069
1982.0,Unknown,27,290,0.09310344827586207
1983.0,Female,46,374,0.12299465240641712
1983.0,Male,313,374,0.8368983957219251
1983.0,Unknown,15,374,0.040106951871657755
1984.0,Female,52,314,0.16560509554140126
1984.0,Male,252,314,0.802547770700637
1984.0,Unknown,10,314,0.03184713375796178
